iter	Passed	Remaining
380	1462	2381
381	1465	2377
382	1468	2372
383	1471	2366
384	1474	2361
385	1477	2356
386	1480	2351
387	1483	2345
388	1486	2340
389	1489	2336
390	1492	2330
391	1496	2326
392	1499	2321
393	1502	2316
394	1505	2312
395	1510	2310
396	1514	2306
397	1517	2300
398	1520	2296
399	1523	2291
400	1526	2285
401	1529	2280
402	1532	2275
403	1535	2271
404	1538	2266
405	1541	2261
406	1544	2256
407	1547	2251
408	1551	2246
409	1554	2241
410	1557	2237
411	1560	2232
412	1563	2227
413	1566	2222
414	1569	2218
415	1572	2212
416	1576	2208
417	1578	2203
418	1582	2199
419	1585	2194
420	1588	2190
421	1592	2186
422	1595	2181
423	1599	2177
424	1602	2172
425	1605	2168
426	1608	2163
427	1611	2158
428	1614	2154
429	1617	2149
430	1621	2146
431	1624	2141
432	1627	2136
433	1630	2131
434	1633	2126
435	1636	2121
436	1639	2117
437	1642	2112
438	1645	2107
439	1648	2103
440	1651	2098
441	1654	2094
442	1657	2088
443	1661	2084
444	1663	2079
445	1666	2075
446	1669	2070
447	1672	2065
448	1675	2061
449	1679	2056
450	1682	2052
451	1685	2048
452	1688	2043
453	1691	2038
454	1694	2034
455	1697	2029
456	1700	2025
457	1703	2020
458	1706	2016
459	1706	2016
460	1710	2008
461	1714	2005
462	1718	2001
463	1721	1997
464	1725	1994
465	1729	1990
466	1732	1985
467	1735	1981
468	1738	1976
469	1741	1972
470	1745	1968
471	1748	1964
472	1751	1960
473	1755	1956
474	1758	1951
475	1762	1947
476	1764	1943
477	1768	1939
478	1772	1935
479	1775	1931
480	1778	1926
481	1781	1922
482	1785	1919
483	1788	1914
484	1792	1911
485	1796	1907
486	1800	1904
487	1802	1899
488	1806	1895
489	1810	1892
490	1813	1888
491	1818	1885
492	1821	1881
493	1825	1877
494	1829	1873
495	1832	1870
496	1836	1866
497	1839	1862
498	1843	1858
499	1846	1854
500	1850	1850
501	1855	1847
502	1859	1844
503	1862	1840
504	1866	1836
505	1869	1832
506	1873	1828
507	1876	1824
508	1879	1820
509	1883	1816
510	1887	1813
511	1891	1810
512	1894	1805
513	1899	1803
514	1903	1799
515	1907	1796
516	1910	1792
517	1914	1788
518	1917	1783
519	1920	1779
520	1924	1776
521	1927	1771
522	1932	1769
523	1936	1765
524	1939	1761
525	1943	1758
526	1947	1754
527	1951	1751
528	1955	1747
529	1959	1743
530	1962	1740
531	2130	1881
532	2130	1881
533	2132	1871
534	2135	1866
535	2139	1862
536	2142	1857
537	2145	1853
538	2149	1849
539	2154	1845
540	2159	1842
541	2327	1978
542	2330	1972
543	2334	1967
544	2337	1962
545	2339	1956
546	2343	1951
547	2346	1945
548	2349	1940
549	2352	1935
550	2355	1929
551	2357	1924
552	2360	1918
553	2363	1913
554	2366	1907
555	2368	1901
556	2371	1896
557	2374	1890
558	2377	1885
559	2380	1880
560	2382	1874
561	2386	1869
562	2388	1864
563	2392	1859
564	2395	1853
565	2398	1848
566	2401	1843
567	2404	1838
568	2408	1833
569	2410	1828
570	2413	1823
571	2418	1818
572	2421	1813
573	2424	1808
574	2427	1803
575	2430	1798
576	2433	1793
577	2436	1788
578	2439	1783
579	2442	1777
580	2446	1773
581	2449	1768
582	2452	1763
583	2455	1758
584	2458	1753
585	2461	1748
586	2464	1743
587	2468	1738
588	2471	1733
589	2474	1728
590	2477	1723
591	2480	1718
592	2483	1713
593	2486	1708
594	2489	1703
595	2492	1698
596	2495	1693
597	2498	1688
598	2501	1683
599	2504	1677
600	2507	1673
601	2510	1667
602	2515	1664
603	2518	1659
604	2522	1654
605	2525	1650
606	2528	1645
607	2532	1640
608	2535	1636
609	2539	1631
610	2542	1626
611	2545	1621
612	2549	1617
613	2552	1612
614	2555	1607
615	2558	1602
616	2562	1598
617	2565	1593
618	2568	1588
619	2571	1583
620	2574	1578
621	2577	1574
622	2581	1569
623	2584	1565
624	2587	1560
625	2590	1555
626	2594	1550
627	2596	1545
628	2600	1541
629	2603	1536
630	2606	1531
631	2609	1526
632	2612	1522
633	2619	1519
634	2625	1516
635	2628	1511
636	2632	1507
637	2634	1502
638	2637	1497
639	2641	1492
640	2644	1487
641	2647	1483
642	2650	1478
643	2653	1473
644	2656	1469
645	2662	1465
646	2667	1462
647	2670	1457
648	2675	1453
649	2678	1449
650	2683	1445
651	2686	1440
652	2688	1435
653	2693	1431
654	2696	1427
655	2699	1422
656	2704	1418
657	2708	1414
658	2711	1409
659	2714	1404
660	2717	1399
661	2720	1395
662	2723	1390
663	2725	1385
664	2728	1380
665	2731	1376
666	2734	1371
667	2737	1366
668	2739	1361
669	2742	1356
670	2745	1352
671	2748	1347
672	2752	1343
673	2755	1338
674	2758	1334
675	2762	1330
676	2766	1325
677	2769	1321
678	2772	1316
679	2775	1311
680	2778	1307
681	2781	1302
682	2784	1298
683	2788	1293
684	2790	1289
685	2794	1284
686	2797	1279
687	2800	1275
688	2803	1270
689	2806	1266
690	2809	1261
691	2812	1257
692	2815	1252
693	2818	1248
694	2821	1243
695	2825	1239
696	2828	1234
697	2831	1230
698	2834	1225
699	2837	1221
700	2840	1216
701	2843	1212
702	2846	1207
703	2849	1203
704	2852	1198
705	2855	1194
706	2858	1189
707	2861	1185
708	2864	1180
709	2868	1176
710	2870	1171
711	2874	1167
712	2877	1163
713	2880	1158
714	2884	1154
715	2886	1149
716	2889	1145
717	2893	1141
718	2896	1136
719	2899	1132
720	2902	1127
721	2905	1123
722	2908	1119
723	2911	1114
724	2914	1110
725	2917	1105
726	2920	1101
727	2923	1096
728	2928	1093
729	2931	1088
730	2935	1084
731	2938	1080
732	2941	1075
733	2944	1071
734	2947	1067
735	2950	1062
736	2953	1058
737	2957	1054
738	2959	1049
739	2962	1045
740	2967	1041
741	2970	1036
742	2973	1032
743	2977	1028
744	2980	1024
745	2983	1020
746	2986	1015
747	2990	1011
748	2994	1007
749	2998	1003
750	3001	999
751	3004	994
752	3007	990
753	3012	986
754	3015	982
755	3018	978
756	3022	974
757	3025	969
758	3028	965
759	3032	961
760	3035	957
761	3039	953
762	3042	948
763	3045	944
764	3048	940
765	3051	935
766	3054	931
767	3057	927
768	3061	923
769	3064	918
770	3067	914
771	3072	910
772	3075	906
773	3079	902
774	3082	898
775	3086	894
776	3089	890
777	3092	885
778	3096	881
779	3098	877
780	3102	873
781	3106	869
782	3109	864
783	3118	862
784	3122	858
785	3125	854
786	3128	849
787	3131	845
788	3134	841
789	3137	837
790	3139	832
791	3142	828
792	3146	824
793	3149	820
794	3153	816
795	3155	811
796	3158	807
797	3162	803
798	3164	799
799	3168	794
800	3171	790
801	3174	786
802	3178	782
803	3181	778
804	3184	774
805	3187	770
806	3191	766
807	3195	762
808	3198	757
809	3201	753
810	3204	749
811	3207	745
812	3210	741
813	3213	737
814	3216	732
815	3219	728
816	3222	724
817	3226	720
818	3228	716
819	3232	712
820	3234	707
821	3238	703
822	3241	699
823	3244	695
824	3247	691
825	3250	687
826	3252	682
827	3256	678
828	3258	674
829	3261	670
830	3265	666
831	3268	662
832	3272	658
833	3275	654
834	3278	650
835	3281	646
836	3284	641
837	3288	637
838	3291	633
839	3294	629
840	3297	625
841	3301	621
842	3304	617
843	3307	613
844	3311	609
845	3313	605
846	3317	601
847	3320	597
848	3324	593
849	3327	589
850	3330	585
851	3333	581
852	3336	577
853	3340	573
854	3343	569
855	3347	565
856	3350	560
857	3353	556
858	3356	552
859	3359	548
860	3362	544
861	3365	540
862	3368	536
863	3372	532
864	3375	528
865	3378	524
866	3382	520
867	3385	516
868	3388	512
869	3391	508
870	3395	504
871	3398	500
872	3401	496
873	3404	492
874	3407	488
875	3411	484
876	3414	480
877	3418	476
878	3421	472
879	3425	468
880	3428	464
881	3431	460
882	3434	456
883	3438	452
884	3441	448
885	3444	444
886	3449	440
887	3452	436
888	3455	432
889	3458	428
890	3461	424
891	3466	421
892	3470	417
893	3474	413
894	3478	409
895	3482	405
896	3485	401
897	3488	397
898	3492	393
899	3496	389
900	3500	385
901	3503	381
902	3506	377
903	3509	373
904	3513	370
905	3516	366
906	3520	362
907	3523	358
908	3526	354
909	3529	350
910	3533	346
911	3536	342
912	3539	338
913	3543	334
914	3550	330
915	3553	326
916	3559	323
917	3562	319
918	3565	315
919	3568	311
920	3571	307
921	3575	303
922	3578	299
923	3581	295
924	3585	291
925	3588	287
926	3591	283
927	3594	279
928	3597	275
929	3601	271
930	3604	267
931	3608	264
932	3613	260
933	3616	256
934	3619	252
935	3622	248
936	3625	244
937	3628	240
938	3630	236
939	3633	232
940	3636	228
941	3640	224
942	3643	220
943	3646	217
944	3650	213
945	3652	209
946	3656	205
947	3663	201
948	3666	197
949	3670	193
950	3673	189
951	3676	185
952	3679	182
953	3682	178
954	3685	174
955	3688	170
956	3691	166
957	3693	162
958	3697	158
959	3700	154
960	3705	150
961	3711	147
962	3716	143
963	3722	139
964	3730	135
965	3735	131
966	3741	128
967	3744	124
968	3748	120
969	3751	116
970	3756	112
971	3759	108
972	3762	104
973	3765	100
974	3768	96
975	3773	93
976	3777	89
977	3781	85
978	3785	81
979	3789	77
980	3792	73
981	3797	69
982	3800	65
983	3803	62
984	3806	58
985	3809	54
986	3814	50
987	3817	46
988	3822	42
989	3825	38
990	3830	34
991	3833	31
992	3837	27
993	3841	23
994	3845	19
995	3849	15
996	3853	11
997	3856	7
998	3860	3
999	3863	0
